"","X","Year","Week","Date","Day","value","catcorr","Bay","corTL","co"
"233",688,"2016",5,2016-06-17,"06_17",48,1.579981685,"Shinnecock",76,1
"234",696,"2016",5,2016-06-17,"06_17",30,1.879380895,"Shinnecock",56,2
"235",704,"2016",5,2016-06-17,"06_17",45,1.645659032,"Shinnecock",74,1
"236",710,"2016",5,2016-06-17,"06_17",42,1.706267717,"Shinnecock",72,1
"237",716,"2016",5,2016-06-17,"06_17",57,1.375371023,"Shinnecock",78,1
"238",722,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
"239",728,"2016",5,2016-06-17,"06_17",32,1.858356313,"Shinnecock",59,2
"240",734,"2016",5,2016-06-17,"06_17",29,1.888847084,"Shinnecock",55,2
"241",740,"2016",5,2016-06-17,"06_17",33,1.846741152,"Shinnecock",61,2
"242",744,"2016",5,2016-06-17,"06_17",53,1.465183611,"Shinnecock",78,1
"243",747,"2016",5,2016-06-17,"06_17",54,1.44227622,"Shinnecock",78,1
"244",750,"2016",5,2016-06-17,"06_17",28,1.897656828,"Shinnecock",53,2
"245",753,"2016",5,2016-06-17,"06_17",49,1.557312077,"Shinnecock",76,1
"246",756,"2016",5,2016-06-17,"06_17",47,1.60231878,"Shinnecock",75,1
"247",759,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
"248",762,"2016",5,2016-06-17,"06_17",31,1.869227139,"Shinnecock",58,2
"249",764,"2016",5,2016-06-17,"06_17",53,1.465183611,"Shinnecock",78,1
"250",766,"2016",5,2016-06-17,"06_17",55,1.419611821,"Shinnecock",78,1
"251",768,"2016",5,2016-06-17,"06_17",52,1.48823882,"Shinnecock",77,1
"252",770,"2016",5,2016-06-17,"06_17",38,1.776793505,"Shinnecock",68,1
"253",33,"2016",6,2016-06-24,"06_24",62,1.274595083,"Shinnecock",79,1
"254",34,"2016",6,2016-06-24,"06_24",49,1.557312077,"Shinnecock",76,1
"255",35,"2016",6,2016-06-24,"06_24",63,1.256570527,"Shinnecock",79,1
"256",36,"2016",6,2016-06-24,"06_24",47,1.60231878,"Shinnecock",75,1
"257",37,"2016",6,2016-06-24,"06_24",59,1.333117473,"Shinnecock",79,1
"258",38,"2016",6,2016-06-24,"06_24",47,1.60231878,"Shinnecock",75,1
"259",39,"2016",6,2016-06-24,"06_24",61,1.293386184,"Shinnecock",79,1
"260",40,"2016",6,2016-06-24,"06_24",60,1.312908509,"Shinnecock",79,1
"261",41,"2016",6,2016-06-24,"06_24",54,1.44227622,"Shinnecock",78,1
"262",42,"2016",6,2016-06-24,"06_24",50,1.534401164,"Shinnecock",77,1
"263",128,"2016",6,2016-06-24,"06_24",60,1.312908509,"Shinnecock",79,1
"264",129,"2016",6,2016-06-24,"06_24",56,1.397281537,"Shinnecock",78,1
"265",130,"2016",6,2016-06-24,"06_24",35,1.821184158,"Shinnecock",64,2
"266",131,"2016",6,2016-06-24,"06_24",55,1.419611821,"Shinnecock",78,1
"267",132,"2016",6,2016-06-24,"06_24",49,1.557312077,"Shinnecock",76,1
"268",133,"2016",6,2016-06-24,"06_24",44,1.666511679,"Shinnecock",73,1
"269",134,"2016",6,2016-06-24,"06_24",57,1.375371023,"Shinnecock",78,1
"270",135,"2016",6,2016-06-24,"06_24",70,1.1530424,"Shinnecock",81,1
"271",200,"2016",6,2016-06-24,"06_24",44,1.666511679,"Shinnecock",73,1
"272",201,"2016",6,2016-06-24,"06_24",35,1.821184158,"Shinnecock",64,2
"273",202,"2016",6,2016-06-24,"06_24",57,1.375371023,"Shinnecock",78,1
"274",203,"2016",6,2016-06-24,"06_24",45,1.645659032,"Shinnecock",74,1
"275",204,"2016",6,2016-06-24,"06_24",67,1.192534974,"Shinnecock",80,1
"276",205,"2016",6,2016-06-24,"06_24",55,1.419611821,"Shinnecock",78,1
"277",206,"2016",6,2016-06-24,"06_24",67,1.192534974,"Shinnecock",80,1
"278",262,"2016",6,2016-06-24,"06_24",56,1.397281537,"Shinnecock",78,1
"279",263,"2016",6,2016-06-24,"06_24",29,1.888847084,"Shinnecock",55,2
"280",264,"2016",6,2016-06-24,"06_24",60,1.312908509,"Shinnecock",79,1
"281",265,"2016",6,2016-06-24,"06_24",55,1.419611821,"Shinnecock",78,1
"282",266,"2016",6,2016-06-24,"06_24",50,1.534401164,"Shinnecock",77,1
"283",267,"2016",6,2016-06-24,"06_24",64,1.239338748,"Shinnecock",79,1
"284",268,"2016",6,2016-06-24,"06_24",50,1.534401164,"Shinnecock",77,1
"285",315,"2016",6,2016-06-24,"06_24",56,1.397281537,"Shinnecock",78,1
"286",316,"2016",6,2016-06-24,"06_24",32,1.858356313,"Shinnecock",59,2
"287",317,"2016",6,2016-06-24,"06_24",52,1.48823882,"Shinnecock",77,1
"288",318,"2016",6,2016-06-24,"06_24",55,1.419611821,"Shinnecock",78,1
"289",319,"2016",6,2016-06-24,"06_24",52,1.48823882,"Shinnecock",77,1
"290",320,"2016",6,2016-06-24,"06_24",58,1.353959245,"Shinnecock",79,1
"291",321,"2016",6,2016-06-24,"06_24",55,1.419611821,"Shinnecock",78,1
"292",357,"2016",6,2016-06-24,"06_24",33,1.846741152,"Shinnecock",61,2
"293",358,"2016",6,2016-06-24,"06_24",60,1.312908509,"Shinnecock",79,1
"294",359,"2016",6,2016-06-24,"06_24",60,1.312908509,"Shinnecock",79,1
"295",360,"2016",6,2016-06-24,"06_24",45,1.645659032,"Shinnecock",74,1
"296",361,"2016",6,2016-06-24,"06_24",54,1.44227622,"Shinnecock",78,1
"297",362,"2016",6,2016-06-24,"06_24",53,1.465183611,"Shinnecock",78,1
"298",393,"2016",6,2016-06-24,"06_24",65,1.222917267,"Shinnecock",79,1
"299",394,"2016",6,2016-06-24,"06_24",58,1.353959245,"Shinnecock",79,1
"300",395,"2016",6,2016-06-24,"06_24",46,1.624237594,"Shinnecock",75,1
"301",396,"2016",6,2016-06-24,"06_24",47,1.60231878,"Shinnecock",75,1
"302",397,"2016",6,2016-06-24,"06_24",41,1.72507236,"Shinnecock",71,1
"303",425,"2016",6,2016-06-24,"06_24",58,1.353959245,"Shinnecock",79,1
"304",426,"2016",6,2016-06-24,"06_24",63,1.256570527,"Shinnecock",79,1
"305",427,"2016",6,2016-06-24,"06_24",57,1.375371023,"Shinnecock",78,1
"306",428,"2016",6,2016-06-24,"06_24",53,1.465183611,"Shinnecock",78,1
"307",451,"2016",6,2016-06-24,"06_24",53,1.465183611,"Shinnecock",78,1
"308",452,"2016",6,2016-06-24,"06_24",59,1.333117473,"Shinnecock",79,1
"309",453,"2016",6,2016-06-24,"06_24",57,1.375371023,"Shinnecock",78,1
"310",454,"2016",6,2016-06-24,"06_24",43,1.686732572,"Shinnecock",73,1
"311",475,"2016",6,2016-06-24,"06_24",37,1.792410193,"Shinnecock",66,2
"312",476,"2016",6,2016-06-24,"06_24",33,1.846741152,"Shinnecock",61,2
"313",477,"2016",6,2016-06-24,"06_24",50,1.534401164,"Shinnecock",77,1
"314",478,"2016",6,2016-06-24,"06_24",52,1.48823882,"Shinnecock",77,1
"315",496,"2016",6,2016-06-24,"06_24",37,1.792410193,"Shinnecock",66,2
"316",497,"2016",6,2016-06-24,"06_24",35,1.821184158,"Shinnecock",64,2
"317",498,"2016",6,2016-06-24,"06_24",54,1.44227622,"Shinnecock",78,1
"318",499,"2016",6,2016-06-24,"06_24",60,1.312908509,"Shinnecock",79,1
"319",516,"2016",6,2016-06-24,"06_24",35,1.821184158,"Shinnecock",64,2
"320",517,"2016",6,2016-06-24,"06_24",34,1.834357323,"Shinnecock",62,2
"321",518,"2016",6,2016-06-24,"06_24",48,1.579981685,"Shinnecock",76,1
"322",519,"2016",6,2016-06-24,"06_24",37,1.792410193,"Shinnecock",66,2
"323",534,"2016",6,2016-06-24,"06_24",58,1.353959245,"Shinnecock",79,1
