Bay,Date,Tow,TL,Year,Week
Shinnecock,2010-06-28,3,46,2010,5
Shinnecock,2010-06-28,3,65,2010,5
Shinnecock,2010-06-28,3,52,2010,5
Shinnecock,2010-06-28,3,48,2010,5
Shinnecock,2010-06-28,3,52,2010,5
Shinnecock,2010-06-28,3,62,2010,5
Shinnecock,2010-06-28,3,45,2010,5
Shinnecock,2010-06-28,3,51,2010,5
Shinnecock,2010-06-28,3,58,2010,5
Shinnecock,2010-06-28,3,58,2010,5
Shinnecock,2010-06-28,3,52,2010,5
Shinnecock,2010-06-28,3,60,2010,5
Shinnecock,2010-06-28,3,54,2010,5
Shinnecock,2010-06-28,3,49,2010,5
Shinnecock,2010-06-28,3,57,2010,5
Shinnecock,2010-06-28,3,55,2010,5
Shinnecock,2010-06-28,3,40,2010,5
Shinnecock,2010-06-28,3,46,2010,5
Shinnecock,2010-06-28,3,48,2010,5
Shinnecock,2010-06-28,3,44,2010,5
Shinnecock,2010-06-28,3,59,2010,5
Shinnecock,2010-06-28,3,43,2010,5
Shinnecock,2010-06-28,3,46,2010,5
Shinnecock,2010-06-28,3,65,2010,5
Shinnecock,2010-06-28,3,56,2010,5
Shinnecock,2010-06-28,3,58,2010,5
Shinnecock,2010-06-28,3,59,2010,5
Shinnecock,2010-06-28,3,59,2010,5
Shinnecock,2010-06-28,3,57,2010,5
Shinnecock,2010-06-28,3,65,2010,5
Shinnecock,2010-06-28,3,48,2010,5
Shinnecock,2010-06-28,3,43,2010,5
Shinnecock,2010-06-28,3,48,2010,5
Shinnecock,2010-06-28,3,62,2010,5
Shinnecock,2010-06-28,3,48,2010,5
Shinnecock,2010-06-28,4,67,2010,5
Shinnecock,2010-06-28,4,56,2010,5
Shinnecock,2010-06-28,5,51,2010,5
Shinnecock,2010-06-28,5,49,2010,5
Shinnecock,2010-06-28,5,50,2010,5
Shinnecock,2010-06-28,6,66,2010,5
Shinnecock,2010-06-28,6,54,2010,5
Shinnecock,2010-06-28,6,44,2010,5
Shinnecock,2010-06-28,6,49,2010,5
Shinnecock,2010-06-28,7,64,2010,5
Shinnecock,2010-06-28,8,79,2010,5
Shinnecock,2010-06-28,8,60,2010,5
Shinnecock,2010-06-28,9,45,2010,5
Shinnecock,2010-06-28,9,54,2010,5
Shinnecock,2010-06-28,9,46,2010,5
Shinnecock,2010-06-28,9,58,2010,5
Shinnecock,2010-06-28,9,47,2010,5
Shinnecock,2010-06-28,9,51,2010,5
Jamaica,2010-07-08,2,59,2010,6
Jamaica,2010-07-08,6,58,2010,6
Jamaica,2010-07-08,7,63,2010,6
Jamaica,2010-07-08,11,64,2010,6
Napeague,2010-07-09,1,48,2010,6
Napeague,2010-07-09,6,58,2010,6
Napeague,2010-07-09,6,40,2010,6
Napeague,2010-07-09,6,38,2010,6
Napeague,2010-07-09,6,51,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,65,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,52,2010,6
Napeague,2010-07-09,6,58,2010,6
Napeague,2010-07-09,6,56,2010,6
Napeague,2010-07-09,6,49,2010,6
Napeague,2010-07-09,6,64,2010,6
Napeague,2010-07-09,6,39,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,47,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,41,2010,6
Napeague,2010-07-09,6,52,2010,6
Napeague,2010-07-09,6,50,2010,6
Napeague,2010-07-09,6,45,2010,6
Napeague,2010-07-09,6,54,2010,6
Napeague,2010-07-09,6,50,2010,6
Napeague,2010-07-09,6,59,2010,6
Napeague,2010-07-09,6,53,2010,6
Napeague,2010-07-09,6,41,2010,6
Napeague,2010-07-09,6,41,2010,6
Napeague,2010-07-09,6,39,2010,6
Napeague,2010-07-09,6,74,2010,6
Napeague,2010-07-09,6,45,2010,6
Napeague,2010-07-09,6,55,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,47,2010,6
Napeague,2010-07-09,6,45,2010,6
Napeague,2010-07-09,6,56,2010,6
Napeague,2010-07-09,6,53,2010,6
Napeague,2010-07-09,6,39,2010,6
Napeague,2010-07-09,6,47,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,41,2010,6
Napeague,2010-07-09,6,41,2010,6
Napeague,2010-07-09,6,40,2010,6
Napeague,2010-07-09,6,40,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,43,2010,6
Napeague,2010-07-09,6,34,2010,6
Napeague,2010-07-09,6,43,2010,6
Napeague,2010-07-09,6,38,2010,6
Napeague,2010-07-09,6,43,2010,6
Napeague,2010-07-09,6,42,2010,6
Napeague,2010-07-09,6,37,2010,6
Napeague,2010-07-09,6,40,2010,6
Napeague,2010-07-09,6,42,2010,6
Napeague,2010-07-09,6,53,2010,6
Napeague,2010-07-09,6,47,2010,6
Napeague,2010-07-09,6,38,2010,6
Napeague,2010-07-09,6,50,2010,6
Napeague,2010-07-09,6,60,2010,6
Napeague,2010-07-09,6,37,2010,6
Napeague,2010-07-09,6,45,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,54,2010,6
Napeague,2010-07-09,6,40,2010,6
Napeague,2010-07-09,6,38,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,63,2010,6
Napeague,2010-07-09,6,44,2010,6
Napeague,2010-07-09,6,72,2010,6
Napeague,2010-07-09,6,47,2010,6
Napeague,2010-07-09,6,55,2010,6
Napeague,2010-07-09,6,44,2010,6
Napeague,2010-07-09,6,52,2010,6
Napeague,2010-07-09,6,50,2010,6
Napeague,2010-07-09,6,44,2010,6
Napeague,2010-07-09,6,38,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,37,2010,6
Napeague,2010-07-09,6,37,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,53,2010,6
Napeague,2010-07-09,6,54,2010,6
Napeague,2010-07-09,6,37,2010,6
Napeague,2010-07-09,6,40,2010,6
Napeague,2010-07-09,6,46,2010,6
Napeague,2010-07-09,6,41,2010,6
Napeague,2010-07-09,6,50,2010,6
Napeague,2010-07-09,6,43,2010,6
Napeague,2010-07-09,6,45,2010,6
Napeague,2010-07-09,6,42,2010,6
Napeague,2010-07-09,6,43,2010,6
Napeague,2010-07-09,6,48,2010,6
Napeague,2010-07-09,6,48,2010,6
